key,ctrl meta,,shift,ctrl,alt,meta,shift ctrl,ctrl alt,shift meta,shift alt,shift ctrl alt,shift meta alt,meta alt
A,VcsHistory.ShowAllAffected,,,EditorLineStart,,Terminal.SelectAll|$SelectAll,,,GotoAction,,,,Diagram.DeselectAll|ChangesView.AddUnversioned
B,,,Graph.AlignNodes.Bottom,EditorLeft,,GotoDeclaration|org.intellij.plugins.markdown.ui.actions.styling.ToggleBoldAction,GotoTypeDeclaration,EditorPreviousWord,GotoTypeDeclaration,sql.SelectInDatabaseView|tasks.open.in.browser,EditorPreviousWordWithSelection,DatabaseView.OpenDdlInConsole,GotoImplementation
C,,Uml.CollapseNodes,Graph.AlignNodes.Center,Terminal.ClearPrompt,,Terminal.CopyBlock|Terminal.CopySelectedText|$Copy,,,CopyPaths|DatabaseView.CopyDdlAction|org.intellij.plugins.markdown.ui.actions.styling.ToggleCodeSpanAction,RecentChanges,,CopyReference,IntroduceConstant
D,,,,UsageGrouping.DirectoryStructure|Terminal.CloseSession|Debug,,EditorDuplicate|CompareTwoFiles|SendEOF|FileChooser.GotoDesktop|Diff.ShowDiff|Compare.SameVersion,DebugClass,ChooseDebugConfiguration,DownloadBackendFileToClient|Console.TableResult.CompareCells|Diff.ShowSettingsPopup|Uml.ShowDiff|JavaScript.ShowComponentUsages,,,UML.ShowChanges|Console.TableResult.CloneColumn,Console.TableResult.SetDefault
E,,Uml.ExpandNodes,,EditorLineEnd,,SwitcherIterateItems|SwitcherRecentEditedChangedToggleCheckBox|RecentFiles,,ToggleFindInSelection,RecentLocations,,,TextSearchAction,Console.History.Browse
F,ToggleFullScreen,,,TodoViewGroupByFlattenPackage|EditorRight,,Find,,ShowFilterPopup|EditorNextWord,FindInPath,,EditorNextWordWithSelection,Console.TableResult.EditFilterCriteria|DatabaseView.FullTextSearch,IntroduceField
G,SelectAllOccurrences,,,SelectNextOccurrence,,FindNext,UnselectPreviousOccurrence,,FindPrevious,EditorAddCaretPerSelectedLine,,DatabaseView.CopyDdlAction,DatabaseView.SqlGenerator
H,,,Graph.DistributeNodes.Horizontally,TypeHierarchy,,,,CallHierarchy,ChangesView.ShelveSilently|MethodHierarchy,,,PopupHector
I,,,,UsageFiltering.Imports|ImplementMethods,,DatabaseView.PropertiesAction|org.intellij.plugins.markdown.ui.actions.styling.ToggleItalicAction,,AutoIndentLines,ExternalSystem.ProjectRefreshAction,CodeInspection.OnEditor,,RunInspection
J,,,,QuickJavaDoc,,InsertLiveTemplate,EditorJoinLines,,Jdbc.OpenConsole.Scratch,,,,SurroundWithLiveTemplate
K,,,,EditorCutLineEnd,,Terminal.ClearBuffer|CheckinProject,,,Vcs.Push,,,,Git.Commit.And.Push.Executor
L,,,Graph.AlignNodes.Left,EditorScrollToCenter,,GotoLine|Vcs.Log.FocusTextFilter,,,Jdbc.OpenConsole.New,,,ShowReformatFileDialog,ReformatCode
